chain_id,contract_name,contract_address,owner_address,owner_category,expected_dao_executor,ownership_change_required
10,ServiceManagerProxy,0xA5C7FbCCFf28441b7d250412b0Fb87AA1c8b14AD,0xEB2A22b27C7Ad5eeE424Fd90b376c745E60f914E,autonolas_deployer,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,yes
10,ServiceRegistryTokenUtility,0xBb7e1D6Cb6F243D6bdE81CE92a9f2aFF7Fbe7eac,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,dao_executor,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,no
10,StakingVerifier,0x526E064cB694E8f5B7DB299158e17F33055B3943,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,dao_executor,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,no
10,StakingFactory,0xa45E64d13A30a51b91ae0eb182e88a40e9b18eD8,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,dao_executor,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,no
8453,ServiceRegistryL2,0x3C1fF68f5aa342D296d4DEe4Bb1cACCA912D95fE,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,dao_executor,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,no
8453,ServiceManagerProxy,0x1262136cac6a06A782DC94eb3a3dF0b4d09FF6A6,0xEB2A22b27C7Ad5eeE424Fd90b376c745E60f914E,autonolas_deployer,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,yes
8453,ServiceRegistryTokenUtility,0x34C895f302D0b5cf52ec0Edd3945321EB0f83dd5,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,dao_executor,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,no
8453,StakingVerifier,0x10c5525F77F13b28f42c5626240c001c2D57CAd4,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,dao_executor,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,no
8453,StakingFactory,0x1cEe30D08943EB58EFF84DD1AB44a6ee6FEff63a,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,dao_executor,0xE49CB081e8d96920C38aA7AB90cb0294ab4Bc8EA,no
42220,ServiceRegistryL2,0xE3607b00E75f6405248323A9417ff6b39B244b50,0xC14E191A64a7FB0e5790a8a0B9a58683dFFce04d,other,0x397125902ED2cA2d42104F621f448A2cE1bC8Fb7,yes
42220,ServiceRegistryTokenUtility,0x3d77596beb0f130a4415df3D2D8232B3d3D31e44,0xC14E191A64a7FB0e5790a8a0B9a58683dFFce04d,other,0x397125902ED2cA2d42104F621f448A2cE1bC8Fb7,yes
42220,StakingVerifier,0xc40C79C275F3fA1F3f4c723755C81ED2D53A8D81,0xC14E191A64a7FB0e5790a8a0B9a58683dFFce04d,other,0x397125902ED2cA2d42104F621f448A2cE1bC8Fb7,yes
42220,StakingFactory,0x1c2cD884127b080F940b7546c1e9aaf525b1FA55,0xC14E191A64a7FB0e5790a8a0B9a58683dFFce04d,other,0x397125902ED2cA2d42104F621f448A2cE1bC8Fb7,yes
34443,ServiceRegistryL2,0x3C1fF68f5aa342D296d4DEe4Bb1cACCA912D95fE,0x9338b5153AE39BB89f50468E608eD9d764B755fD,dao_executor,0x9338b5153AE39BB89f50468E608eD9d764B755fD,no
34443,ServiceManagerProxy,0xcDdD9D9ABaB36fFa882530D69c73FeE5D4001C2d,0xEB2A22b27C7Ad5eeE424Fd90b376c745E60f914E,autonolas_deployer,0x9338b5153AE39BB89f50468E608eD9d764B755fD,yes
34443,ServiceRegistryTokenUtility,0x34C895f302D0b5cf52ec0Edd3945321EB0f83dd5,0x9338b5153AE39BB89f50468E608eD9d764B755fD,dao_executor,0x9338b5153AE39BB89f50468E608eD9d764B755fD,no
34443,StakingVerifier,0x87c511c8aE3fAF0063b3F3CF9C6ab96c4AA5C60c,0x9338b5153AE39BB89f50468E608eD9d764B755fD,dao_executor,0x9338b5153AE39BB89f50468E608eD9d764B755fD,no
34443,StakingFactory,0x75D529FAe220bC8db714F0202193726b46881B76,0x9338b5153AE39BB89f50468E608eD9d764B755fD,dao_executor,0x9338b5153AE39BB89f50468E608eD9d764B755fD,no
